id_perfil,nombre_perfil,rank,id_documento,titulo,fuente,seccion,tipo_archivo,ruta_local,url_origen,score_similitud,embedding_perfil_preview,embedding_documento_preview,texto_documento_muestra
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,1,doc_0155,Claves para crear una cultura de innovación colaborativa en tu empresa,CEEI Elche,Infografias,pdf,data/raw/ceei_elche/pdf/Infografias/Claves para crear una cultura de innovación colaborativa en tu empresa.pdf,,0.57405,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0341, -0.0426, 0.0071, -0.04, -0.0728, -0.0141, -0.054, 0.0079]","Claves para crear una cultura de innovación colaborativa en tu empresa | CEEI Elche | Infografias | pdf | Claves para crear una cultura de innovación colaborativa en tu empresa CEEI Elche Infografias pdf FIN AN CIA: CO O RD IN A: FOMENTAR LA DIVERSIDAD Y LA INCLUSIÓN La diversidad de perspectivas y experiencias es muy útil para generar grandes conversaciones y reflexiones. Incentiva la participación de empleados de diferentes antecedentes, departamentos y niveles jerárquicos. ESTABLECER UN ENTOR"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,2,doc_0187,Ventajas de la innovación abierta,CEEI Elche,Infografias,pdf,data/raw/ceei_elche/pdf/Infografias/Ventajas de la innovación abierta.pdf,,0.5458,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0738, -0.0662, 0.0228, 0.005, 0.0092, 0.0467, -0.0464, 0.0454]",Ventajas de la innovación abierta | CEEI Elche | Infografias | pdf | Ventajas de la innovación abierta CEEI Elche Infografias pdf FIN AN CIA: CO O RD IN A: I N N O V A C I Ó NI N N O V A C I Ó N A B I E R T AA B I E R T A VENTAJAS DE LA Acceso a un conjunto más amplio de conocimientos y recursos que no están disponibles en el propio entorno de la empresa. MÁS CONOCIMIENTOMÁS CONOCIMIENTO REDUCCIÓN TIEMPO Y COSTEREDUCCIÓN TIEMPO Y COSTE Reducción del tiempo y los costos necesarios para desarrolla
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,3,doc_0164,El proceso de innovación de las empresas de éxitoEl modelo de las ETIs para asegurar la competitividad actual y la perma,CEEI Elche,Infografias,pdf,data/raw/ceei_elche/pdf/Infografias/El proceso de innovación de las empresas de éxitoEl modelo de las ETIs para asegurar la competitividad actual y la perma.pdf,,0.544141,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0589, -0.0374, -0.004, -0.0932, -0.0243, -0.0343, -0.0355, 0.0253]","El proceso de innovación de las empresas de éxitoEl modelo de las ETIs para asegurar la competitividad actual y la perma | CEEI Elche | Infografias | pdf | El proceso de innovación de las empresas de éxitoEl modelo de las ETIs para asegurar la competitividad actual y la perma CEEI Elche Infografias pdf PROCESO DE INNOVACIÓN DE LAS EMPRESAS DE ÉXITO www.emprenemjunts.es BLOQUE 1: Entender al Cliente ESCUCHA ESTRUCTURADA El equipo realiza entre 20 y 30 entrevistas a los clientes para descubrir, ne"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,4,doc_0015,Guía Sello JEI y PYME Innovadora,CEEI Elche,General,pdf,data/raw/ceei_elche/original/Guía Sello JEI y PYME Innovadora.pdf,,0.542447,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0357, 0.0009, -0.04, -0.0354, -0.0216, 0.0024, -0.0646, 0.0137]",Guía Sello JEI y PYME Innovadora | CEEI Elche | General | pdf | Guía Sello JEI y PYME Innovadora CEEI Elche General pdf SELLO JOVEN EMPRESA INNOVADORA Y PYME INNOVADORA Los Centros Europeos de Empresas e Innovación (CEEIs) a través de su Asociación Nacional ANCES y AENOR han firmado un convenio para promover el Programa de certificación a través del cual las Pequeñas y Medianas Empresas podrán realizar el proceso necesario para la obtención de los sellos Joven Empresa Innovadora y Pyme Innovador
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,5,doc_0242,Empresa Proptech,CEEI Elche,Modelos_de_Negocio_texto,txt,data/raw/ceei_elche/pdf/Modelos_de_Negocio_texto/Empresa Proptech.txt,https://ceeielche.emprenemjunts.es/?op=13&n=20510,0.539897,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0826, 0.0289, 0.0294, -0.0308, -0.0074, -0.0504, -0.0086, 0.042]","Empresa Proptech | CEEI Elche | Modelos_de_Negocio_texto | txt | https://ceeielche.emprenemjunts.es/?op=13&n=20510 | Empresa Proptech CEEI Elche Modelos_de_Negocio_texto txt https://ceeielche.emprenemjunts.es/?op=13&n=20510 Titulo: Empresa Proptech URL: https://ceeielche.emprenemjunts.es/?op=13&n=20510 Empresa Proptech jueves, 28 de diciembre de 2023 Centro Europeo de Empresas e Innovación de Valencia Descargar archivo (.pdf 4.318Kb) A la hora de definir la actividad de una empresa de proptech,"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,6,doc_0183,Tecnologías habilitadoras que favorecen la innovación abierta,CEEI Elche,Infografias,pdf,data/raw/ceei_elche/pdf/Infografias/Tecnologías habilitadoras que favorecen la innovación abierta.pdf,,0.534201,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0643, -0.0383, 0.0027, -0.0136, 0.0669, 0.0558, -0.1012, 0.0094]","Tecnologías habilitadoras que favorecen la innovación abierta | CEEI Elche | Infografias | pdf | Tecnologías habilitadoras que favorecen la innovación abierta CEEI Elche Infografias pdf FIN AN CIA: CO O RD IN A: TECNOLOGÍASTECNOLOGÍAS HABILITADORAS QUEHABILITADORAS QUE FAVORECEN LAFAVORECEN LA INNOVACIÓN ABIERTAINNOVACIÓN ABIERTA REALIDAD AUMENTADAREALIDAD AUMENTADA BLOCKCHAINBLOCKCHAIN INTELIGENCIA ARTIFICIALINTELIGENCIA ARTIFICIAL INTERNET DE LAS COSASINTERNET DE LAS COSAS La blockchain, con s"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,7,doc_0199,Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios,CEEI Elche,Informes_y_Publicaciones,pdf,data/raw/ceei_elche/pdf/Informes_y_Publicaciones/Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios.pdf,,0.531551,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.1188, -0.0273, 0.0186, -0.0117, 0.0116, 0.0196, -0.0644, 0.0141]","Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios | CEEI Elche | Informes_y_Publicaciones | pdf | Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios CEEI Elche Informes_y_Publicaciones pdf Informe Benchmarking CEEI Elche 2018-2019 Servicios, Herramientas y Metodologías para el desarrollo y crecimiento empresarial Este proyecto ha sido elaborado gracias al apo"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,8,doc_0240,Empresa Fintech,CEEI Elche,Modelos_de_Negocio_texto,txt,data/raw/ceei_elche/pdf/Modelos_de_Negocio_texto/Empresa Fintech.txt,https://ceeielche.emprenemjunts.es/?op=13&n=20511,0.525674,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0343, 0.0162, 0.0432, -0.0284, -0.0126, -0.0704, 0.014, 0.0669]","Empresa Fintech | CEEI Elche | Modelos_de_Negocio_texto | txt | https://ceeielche.emprenemjunts.es/?op=13&n=20511 | Empresa Fintech CEEI Elche Modelos_de_Negocio_texto txt https://ceeielche.emprenemjunts.es/?op=13&n=20511 Titulo: Empresa Fintech URL: https://ceeielche.emprenemjunts.es/?op=13&n=20511 Empresa Fintech jueves, 28 de diciembre de 2023 Centro Europeo de Empresas e Innovación de Valencia Descargar archivo (.pdf 4.173Kb) A la hora de definir la actividad de una empresa de servicios fint"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,9,doc_0168,Incubadoras_ hackatones o aceleradoras,CEEI Elche,Infografias,pdf,data/raw/ceei_elche/pdf/Infografias/Incubadoras_ hackatones o aceleradoras.pdf,,0.524896,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0515, -0.0895, -0.0157, -0.013, 0.0399, 0.0204, -0.0892, 0.0024]","Incubadoras_ hackatones o aceleradoras | CEEI Elche | Infografias | pdf | Incubadoras_ hackatones o aceleradoras CEEI Elche Infografias pdf Espacios para fomentar la innovación abierta La innovación abierta consiste en la búsqueda de soluciones a retos, más allá de los límites tecnológicos, humanos y económicos de una empresa, combinando las competencias internas con el conocimiento de actores externos. Entre estos últimos, hay tres que pueden ser especialmente relevantes para las start-ups. Hac"
perfil_001_investigador_ebt_ebc,Investigador académico en fase de spin-off EBT/EBC,10,doc_0151,_Cómo gestionar un _funnel_ de innovación_De ideación a implantación,CEEI Elche,Infografias,pdf,data/raw/ceei_elche/pdf/Infografias/_Cómo gestionar un _funnel_ de innovación_De ideación a implantación.pdf,,0.518553,"[-0.0552, 0.0291, 0.0321, -0.0509, -0.059, -0.0442, -0.04, 0.0895]","[-0.0319, -0.0429, 0.0171, -0.04, 0.0334, -0.0237, 0.0066, -0.0046]","_Cómo gestionar un _funnel_ de innovación_De ideación a implantación | CEEI Elche | Infografias | pdf | _Cómo gestionar un _funnel_ de innovación_De ideación a implantación CEEI Elche Infografias pdf El funnel de innovación es un embudo que permite ﬁltrar ideas de manera progresiva, ayudando a priorizar esfuerzos y a mantener alineación estratégica con los objetivos de negocio. Como gestionar un funnel de innovacion: DE IDEACIÓN A IMPLANTACIÓN ¿QUÉ ES UN FUNNEL DE INNOVACIÓN? SELECCIÓN DE IDEAS"
