id_documento,titulo,fuente,seccion,tipo_archivo,ruta_local,url_origen,num_caracteres,estado_extraccion,texto_embedding_muestra,modelo_embedding,dimension_embedding,embedding_preview
doc_0334,Informe COTEC 2014,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Informe COTEC 2014.pdf,,611982,OK,"Informe COTEC 2014 | CEEI Elche | Informes_y_Publicaciones | pdf | Informe COTEC 2014 CEEI Elche Informes_y_Publicaciones pdf ISBN 978-84-92933-29-7 9 7 8 8 4 9 2 9 3 3 2 9 7 © Copyright: Fundación Cotec para la Innovación Tecnológica Plaza del Marqués de Salamanca, 11, 2.º izquierda 28006 Madrid Teléfono: (+34) 91 436 47 74. Fax: (+34) 91 431 12 39 http://www.cotec.es Supervisión de la edición: Jesús Esteban Barranco Diseño de cubierta: movedesign Impresión: Gráficas Arias Montano, S.A. ISBN: 9",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0398, -0.0057, 0.0196, 0.0368, 0.042, 0.0132, -0.0264, 0.0818]"
doc_0344,Informe GEM 2018-19 sobre el ecosistema emprendedor en España,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Informe GEM 2018-19 sobre el ecosistema emprendedor en España.pdf,,408710,OK,Informe GEM 2018-19 sobre el ecosistema emprendedor en España | CEEI Elche | Informes_y_Publicaciones | pdf | Informe GEM 2018-19 sobre el ecosistema emprendedor en España CEEI Elche Informes_y_Publicaciones pdf EQUIPO GEM ESPAÑA 2018 GLOBAL ENTREPRENEURSHIP MONITOR – INFORME GEM ESPAÑA 2018-2019 EQUIPO GEM ESPAÑA 2018EQUIPO GEM ESPAÑA 2018EQUIPO GEM ESPAÑA 2018 EQUIPO GEM ESPAÑA 2018 EQUIPO GEM ESPAÑA 2018EQUIPO GEM ESPAÑA 2018 GEM Com. de Madrid GEM Melilla Socio institucional CAPVInstitucione,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0458, 0.0331, 0.0969, -0.0089, 0.0947, -0.0144, 0.0055, 0.027]"
doc_0323,Análisis para la definición de las competencias del perfil profesional de un Agente de Desarrollo Local_,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Análisis para la definición de las competencias del perfil profesional de un Agente de Desarrollo Local_.pdf,,279774,OK,"Análisis para la definición de las competencias del perfil profesional de un Agente de Desarrollo Local_ | CEEI Elche | Informes_y_Publicaciones | pdf | Análisis para la definición de las competencias del perfil profesional de un Agente de Desarrollo Local_ CEEI Elche Informes_y_Publicaciones pdf PERFIL DEL PERSONAL TÉCNICO EN GESTIÓN DEL DESARROLLO LOCAL EN LA COMUNIDAD VALENCIANA PRIMERA PARTE:Estudio exploratorio sobre la evolución, funciones, actividades,redes de trabajo, formación, percepci",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0089, -0.036, 0.0546, -0.0088, -0.001, -0.008, 0.0429, 0.0734]"
doc_0327,Estudio integral sobre el sector marítimo_recreativo en la Comunidad Valenciana,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Estudio integral sobre el sector marítimo_recreativo en la Comunidad Valenciana.pdf,,241081,OK,"Estudio integral sobre el sector marítimo_recreativo en la Comunidad Valenciana | CEEI Elche | Informes_y_Publicaciones | pdf | Estudio integral sobre el sector marítimo_recreativo en la Comunidad Valenciana CEEI Elche Informes_y_Publicaciones pdf ESTUDIO INTEGRAL SECTOR MARÍTIMO‐RECREATIVO COM. VALENCIANA ‐ 1 ESTUDIO INTEGRAL SOBRE EL SECTOR MARÍTIMO‐RECREATIVO EN LA COMUNIDAD VALENCIANA, Y ANÁLISIS ESTRATÉGICO. 2017 Ronda Vall de Uxó, 125 03206 Elche (Alicante) www.ceeielche.com ceei@ceei‐elch",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[0.0019, -0.0757, 0.1036, 0.0339, 0.0201, -0.0358, -0.0417, 0.1151]"
doc_0337,Informe de resultados 2023_ HUB Nueva Ruralidad RegenerativaLo rural como punta de lanza de la transformación económica_,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Informe de resultados 2023_ HUB Nueva Ruralidad RegenerativaLo rural como punta de lanza de la transformación económica_.pdf,,160762,OK,"Informe de resultados 2023_ HUB Nueva Ruralidad RegenerativaLo rural como punta de lanza de la transformación económica_ | CEEI Elche | Informes_y_Publicaciones | pdf | Informe de resultados 2023_ HUB Nueva Ruralidad RegenerativaLo rural como punta de lanza de la transformación económica_ CEEI Elche Informes_y_Publicaciones pdf INNOVACIÓN COLABORATIVA TERRITORIAL Cooperar para innovary transformar NUEVA RURALIDAD REGENERATIVA:Lo rural como punta de lanza de transformación económica, social y sos",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.0011, -0.0205, 0.0401, 0.047, 0.0376, 0.0398, -0.0807, -0.0709]"
doc_0328,Estudio sobre creación de un Fondo de Garantía para la concesión de microcréditosInformes y estudios,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Estudio sobre creación de un Fondo de Garantía para la concesión de microcréditosInformes y estudios.pdf,,152947,OK,Estudio sobre creación de un Fondo de Garantía para la concesión de microcréditosInformes y estudios | CEEI Elche | Informes_y_Publicaciones | pdf | Estudio sobre creación de un Fondo de Garantía para la concesión de microcréditosInformes y estudios CEEI Elche Informes_y_Publicaciones pdf Estudio Fondo Garantía para concesión microcréditos / 12 INFORME 10.1 ESTUDIO SOBRE CREACIÓN DE UN FONDO DE GARANTÍA DE MICROCRÉDITOS APOYADOS POR ENTIDADES LOCALES Y AUTONÓMICAS Adscrito al convenio 2017 con I,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[0.0039, 0.0149, -0.0287, 0.0553, 0.0935, 0.0317, -0.125, 0.0392]"
doc_0347,Resultados proyecto piloto HUB Innovación Colaborativa Territorial 2021 - 2022,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Resultados proyecto piloto HUB Innovación Colaborativa Territorial 2021 - 2022.pdf,,151868,OK,Resultados proyecto piloto HUB Innovación Colaborativa Territorial 2021 - 2022 | CEEI Elche | Informes_y_Publicaciones | pdf | Resultados proyecto piloto HUB Innovación Colaborativa Territorial 2021 - 2022 CEEI Elche Informes_y_Publicaciones pdf INNOVACIÓNCOLABORATIVATERRITORIALDel desarrollolocal a la innovaciónterritorial COORDINAFINANCIA METODOLOGÍA ÍNDICE EL PROYECTOFASE 01.Definición del marco metodológico detrabajo2.Generación del Equipo de Reflexión Estratégica Territorial(ERET) FASE 11.M,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[0.0137, -0.0531, 0.048, -0.0232, 0.0004, 0.0045, -0.141, 0.0123]"
doc_0332,Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios.pdf,,135250,OK,"Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios | CEEI Elche | Informes_y_Publicaciones | pdf | Informe Benchmarking CEEI Elche 2018-2019_ Análisis sobre metodologías y herramientas de innovación_Informes y estudios CEEI Elche Informes_y_Publicaciones pdf Informe Benchmarking CEEI Elche 2018-2019 Servicios, Herramientas y Metodologías para el desarrollo y crecimiento empresarial Este proyecto ha sido elaborado gracias al apo",sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.1188, -0.0273, 0.0186, -0.0117, 0.0116, 0.0196, -0.0644, 0.0141]"
doc_0324,Análisis sobre metodologías y herramientas de innovación del ecosistema emprendedor de CVInformes y estudios,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Análisis sobre metodologías y herramientas de innovación del ecosistema emprendedor de CVInformes y estudios.pdf,,128933,OK,Análisis sobre metodologías y herramientas de innovación del ecosistema emprendedor de CVInformes y estudios | CEEI Elche | Informes_y_Publicaciones | pdf | Análisis sobre metodologías y herramientas de innovación del ecosistema emprendedor de CVInformes y estudios CEEI Elche Informes_y_Publicaciones pdf 1 Análisis de la oferta sobre metodologías y herramientas de innovación en los agentes del ecosistema emprendedor de la CV enfocadas al crecimiento empresarial “Proyecto cofinanciado por los fon,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[-0.036, -0.0227, 0.0, -0.0343, 0.0651, -0.0376, -0.0688, 0.0455]"
doc_0322,Análisis de la capacidad tractora de las empresas de la Provincia de AlicanteIdentificación de las micro y pequeñas empr,CEEI Elche,Informes_y_Publicaciones,pdf,documentos_ceei_elche_PDF/Informes_y_Publicaciones/Análisis de la capacidad tractora de las empresas de la Provincia de AlicanteIdentificación de las micro y pequeñas empr.pdf,,123057,OK,Análisis de la capacidad tractora de las empresas de la Provincia de AlicanteIdentificación de las micro y pequeñas empr | CEEI Elche | Informes_y_Publicaciones | pdf | Análisis de la capacidad tractora de las empresas de la Provincia de AlicanteIdentificación de las micro y pequeñas empr CEEI Elche Informes_y_Publicaciones pdf DE LA PROVINCIA DE ALICANTE IDENTIFICACIÓN DE LAS MICRO Y PEQUEÑAS EMPRESAS MÁS DINÁMICAS ANÁLISIS DE LA CAPACIDAD TRACTORA DE LAS EMPRESAS 1. PRESENTACIÓN: CONTEXTO GENE,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,384,"[0.0481, -0.0358, 0.0552, 0.0042, 0.0358, -0.0681, -0.0317, 0.0402]"
